Name,Team,xBA,xSLG,xwOBA,Barrel%,HardHit%,Max EV,xwOBA_vs_R,xwOBA_vs_L,Batting_Order,PA_L14,xwOBA_L14,Hit_Prob_Score,HR_Prob_Score
Heriberto Hernández,MIA,0.241,0.392,0.327,6.9,34.7,108.5,0.32,0.311,6,32,0.39,59.6,43.9
Jakob Marsee,MIA,0.207,0.31,0.35,6.3,31.8,108.2,0.343,0.332,6,42,0.42,62.7,37.7
Javier Sanoja,MIA,0.267,0.386,0.328,6.9,34.4,108.5,0.321,0.312,6,31,0.305,57.5,43.4
Joe Mack,MIA,0.242,0.322,0.298,5.9,29.7,108.0,0.292,0.283,6,36,0.339,59.2,36.9
Kyle Stowers,MIA,0.225,0.392,0.321,6.9,34.4,108.5,0.315,0.305,6,53,0.303,64.2,43.7
Leo Jiménez,MIA,0.208,0.229,0.312,5.2,25.8,107.6,0.306,0.296,6,22,0.242,43.9,29.6
Liam Hicks,MIA,0.279,0.499,0.37,8.4,42.2,109.2,0.363,0.351,6,50,0.435,74.7,54.5
Otto Lopez,MIA,0.347,0.494,0.384,8.5,42.6,109.2,0.376,0.365,6,54,0.385,80.9,54.5
Owen Caissie,MIA,0.219,0.391,0.29,6.6,32.8,108.3,0.284,0.275,6,35,0.244,51.6,42.5
Xavier Edwards,MIA,0.309,0.457,0.4,8.3,41.6,109.2,0.392,0.38,6,51,0.329,72.8,52.0
Anthony Volpe,NYY,0.199,0.309,0.323,6.1,30.3,108.0,0.317,0.307,6,34,0.191,46.5,36.7
Ben Rice,NYY,0.296,0.619,0.404,10.0,49.9,110.0,0.396,0.384,6,51,0.388,74.5,65.9
Cody Bellinger,NYY,0.275,0.485,0.384,8.4,42.2,109.2,0.376,0.365,6,49,0.362,70.1,53.8
Jazz Chisholm Jr.,NYY,0.237,0.415,0.326,7.2,35.8,108.6,0.319,0.31,6,43,0.294,59.9,45.8
José Caballero,NYY,0.27,0.41,0.337,7.2,36.1,108.6,0.33,0.32,6,35,0.358,62.4,45.8
Paul Goldschmidt,NYY,0.291,0.527,0.376,8.8,43.9,109.4,0.368,0.357,6,48,0.39,72.6,57.1
Ryan McMahon,NYY,0.218,0.371,0.288,6.3,31.7,108.2,0.282,0.274,6,26,0.361,52.9,40.7
Spencer Jones,NYY,0.268,0.378,0.364,7.2,35.8,108.6,0.357,0.346,6,16,0.515,60.5,44.0
Trent Grisham,NYY,0.237,0.416,0.356,7.5,37.4,108.8,0.349,0.338,6,50,0.415,69.5,47.0
Andrew Vaughn,MIL,0.371,0.558,0.448,9.8,49.0,109.9,0.439,0.426,6,43,0.48,82.6,62.2
Brice Turang,MIL,0.272,0.477,0.399,8.5,42.5,109.2,0.391,0.379,6,59,0.337,73.6,53.6
Christian Yelich,MIL,0.283,0.434,0.366,7.8,38.8,108.9,0.359,0.348,6,62,0.402,79.4,48.9
David Hamilton,MIL,0.238,0.335,0.336,6.5,32.3,108.2,0.329,0.319,6,45,0.356,64.1,39.4
Garrett Mitchell,MIL,0.252,0.409,0.369,7.5,37.6,108.8,0.362,0.351,6,40,0.34,62.2,46.8
Gary Sánchez,MIL,0.224,0.486,0.384,8.4,42.2,109.2,0.376,0.365,6,17,0.427,52.2,53.8
Jackson Chourio,MIL,0.306,0.513,0.368,8.6,42.8,109.3,0.361,0.35,6,59,0.422,81.2,55.7
Jake Bauers,MIL,0.283,0.537,0.393,9.0,45.2,109.5,0.385,0.373,6,52,0.477,78.1,58.5
Joey Ortiz,MIL,0.214,0.276,0.319,5.7,28.5,107.8,0.313,0.303,6,31,0.382,56.0,33.8
Luis Rengifo,MIL,0.209,0.264,0.296,5.3,26.8,107.7,0.29,0.281,6,35,0.368,56.8,31.9
Sal Frelick,MIL,0.237,0.324,0.317,6.2,30.8,108.1,0.311,0.301,6,41,0.381,63.2,37.8
William Contreras,MIL,0.29,0.412,0.36,7.5,37.4,108.8,0.353,0.342,6,52,0.284,69.2,46.8
Donovan Walton,LAA,0.26,0.329,0.315,6.2,30.9,108.1,0.309,0.299,6,31,0.315,57.2,38.1
Jo Adell,LAA,0.244,0.392,0.297,6.6,33.2,108.3,0.291,0.282,6,51,0.29,64.4,42.8
Jose Siri,LAA,0.331,0.545,0.385,9.0,45.2,109.5,0.377,0.366,6,32,0.382,68.2,58.9
Logan O'Hoppe,LAA,0.225,0.336,0.312,6.2,31.1,108.1,0.306,0.296,6,30,0.325,53.8,38.5
Mike Trout,LAA,0.23,0.461,0.409,8.4,42.2,109.2,0.401,0.389,6,55,0.36,68.5,52.5
Nick Madrigal,LAA,0.369,0.404,0.477,8.6,42.8,109.3,0.467,0.453,6,35,0.472,78.0,50.2
Oswald Peraza,LAA,0.271,0.447,0.333,7.5,37.8,108.8,0.326,0.316,6,49,0.26,64.6,48.8
Wade Meckler,LAA,0.321,0.519,0.406,9.0,45.0,109.5,0.398,0.386,6,41,0.454,75.3,57.5
Zach Neto,LAA,0.233,0.447,0.351,7.7,38.6,108.8,0.344,0.333,6,41,0.283,58.0,49.4
